,DISCWT,HOSP_BEDSIZE,HOSP_DIVISION,HOSP_LOCTEACH,HOSP_NIS,HOSP_REGION,H_CONTRL,NIS_STRATUM,N_DISC_U,N_HOSP_U,S_DISC_U,S_HOSP_U,TOTAL_DISC,YEAR
0,5.0001263,1,1,1,10001,1,2,1211,39576,37,7915,37,368,2019
1,5.0,1,1,2,10002,1,2,1221,106330,28,21266,27,834,2019
2,5.0001498,1,1,3,10003,1,3,1331,66767,7,13353,7,925,2019
3,5.0000226,3,1,3,10004,1,2,1233,442037,10,88407,9,14911,2019
4,5.0001263,1,1,1,10005,1,2,1211,39576,37,7915,37,163,2019
5,5.0001263,1,1,1,10006,1,2,1211,39576,37,7915,37,230,2019
6,4.9998466,2,1,1,10007,1,2,1212,32604,10,6521,9,1015,2019
7,4.9998466,2,1,1,10008,1,2,1212,32604,10,6521,9,749,2019
8,4.999985,1,1,3,10009,1,2,1231,334214,41,66843,40,25,2019
9,4.999985,1,1,3,10010,1,2,1231,334214,41,66843,40,1408,2019
10,5.0001263,1,1,1,10011,1,2,1211,39576,37,7915,37,139,2019
11,5.0,1,1,2,10012,1,2,1221,106330,28,21266,27,521,2019
12,4.9998466,2,1,1,10013,1,2,1212,32604,10,6521,9,464,2019
13,5.0,1,1,2,10014,1,2,1221,106330,28,21266,27,682,2019
14,5.0,1,1,2,10015,1,2,1221,106330,28,21266,27,1324,2019
15,5.0000128,2,1,3,10016,1,2,1232,389176,21,77835,21,5995,2019
16,5.0,2,1,2,10017,1,2,1222,126990,14,25398,14,1072,2019
17,5.0000226,3,1,3,10018,1,2,1233,442037,10,88407,9,8102,2019
18,4.999985,1,1,3,10019,1,2,1231,334214,41,66843,40,2148,2019
19,5.0001263,1,1,1,10020,1,2,1211,39576,37,7915,37,284,2019
20,4.9967159,1,1,1,10021,1,1,1111,3043,2,609,2,228,2019
21,5.0,1,1,2,10022,1,2,1221,106330,28,21266,27,1231,2019
22,5.0001263,1,1,1,10023,1,2,1211,39576,37,7915,37,23,2019
23,5.0001263,1,1,1,10024,1,2,1211,39576,37,7915,37,179,2019
24,5.0000128,2,1,3,10025,1,2,1232,389176,21,77835,21,2634,2019
25,5.0000128,2,1,3,10026,1,2,1232,389176,21,77835,21,4360,2019
26,4.9998466,2,1,1,10027,1,2,1212,32604,10,6521,9,804,2019
27,5.0,3,1,1,10028,1,2,1213,53700,4,10740,4,4297,2019
28,5.0000226,3,1,3,10029,1,2,1233,442037,10,88407,9,7380,2019
29,5.0001263,1,1,1,10030,1,2,1211,39576,37,7915,37,78,2019
30,5.0000128,2,1,3,10031,1,2,1232,389176,21,77835,21,2989,2019
31,4.999985,1,1,3,10032,1,2,1231,334214,41,66843,40,1362,2019
32,5.0,1,1,2,10033,1,2,1221,106330,28,21266,27,964,2019
33,4.999985,1,1,3,10034,1,2,1231,334214,41,66843,40,1573,2019
34,5.0000128,2,1,3,10035,1,2,1232,389176,21,77835,21,2727,2019
35,5.0,1,1,2,10036,1,2,1221,106330,28,21266,27,573,2019
36,5.0,2,1,2,10037,1,2,1222,126990,14,25398,14,1238,2019
37,5.0001263,1,1,1,10038,1,2,1211,39576,37,7915,37,316,2019
38,5.0001263,1,1,1,10039,1,2,1211,39576,37,7915,37,172,2019
39,4.999985,1,1,3,10040,1,2,1231,334214,41,66843,40,1970,2019
40,4.999985,1,1,3,10041,1,2,1231,334214,41,66843,40,638,2019
41,5.0,1,1,2,10042,1,2,1221,106330,28,21266,27,197,2019
42,5.0,3,1,1,10044,1,2,1213,53700,4,10740,4,1355,2019
43,4.999985,1,1,3,10045,1,2,1231,334214,41,66843,40,1848,2019
44,4.999985,1,1,3,10046,1,2,1231,334214,41,66843,40,80,2019
45,5.0001263,1,1,1,10047,1,2,1211,39576,37,7915,37,354,2019
46,4.999985,1,1,3,10048,1,2,1231,334214,41,66843,40,2043,2019
47,5.0,1,1,2,10049,1,2,1221,106330,28,21266,27,923,2019
48,5.0,1,1,2,10050,1,2,1221,106330,28,21266,27,106,2019
49,5.0005291,1,1,2,10051,1,3,1321,9451,3,1890,3,925,2019
50,5.0001263,1,1,1,10052,1,2,1211,39576,37,7915,37,108,2019
51,5.0001498,1,1,3,10053,1,3,1331,66767,7,13353,7,2743,2019
52,5.0001263,1,1,1,10054,1,2,1211,39576,37,7915,37,26,2019
53,5.0001156,2,1,3,10055,1,3,1332,43251,3,8650,3,3868,2019
54,4.9967159,1,1,1,10056,1,1,1111,3043,2,609,2,381,2019
